gram,counts
covid,434260597
19,292459485
covid 19,286357880
covid19,222610091
coronavirus,190513100
vaccine,50230036
people,48580492
amp,47895813
cases,45722996
new,44152101
pandemic,36667181
us,30749049
via,29959249
trump,29504568
get,27851976
virus,26661619
health,25814036
deaths,24760733
news,23426115
one,22910379
like,21902546
casos,20259310
000,19396754
need,18477768
di,18242805
time,18159092
help,17226389
world,16507088
2020,16431756
would,15290667
da,15045548
day,14994253
know,14787797
positive,14529492
china,14273197
die,14268908
et,14140164
today,13929455
still,13841670
test,13431236
please,13275376
many,13263282
10,13246084
lockdown,12986631
first,12929444
realdonaldtrump,12886259
government,12757795
si,12453601
death,11825766
says,11802256
could,11643723
state,11628964
due,11490096
even,11435186
19 vaccine,11252681
covid 19 vaccine,11227483
corona,11132597
go,11015461
des,10997385
see,10976273
mask,10823846
na,10801974
2021,10618474
vaccines,10547600
may,10505054
il,10469192
take,10153135
india,10023824
good,9777051
pandemia,9693696
work,9596839
the,9583529
said,9346437
home,9297124
vaccination,9096789
also,8978074
est,8933982
per,8475873
going,8451027
well,8416932
country,8330595
back,8311634
year,8253618
care,8123980
whatshappeninginmyanmar,8012010
total,7883992
19 cases,7746946
spread,7492103
testing,7474536
covid 19 cases,7422717
crisis,7014785
du,6705638
think,6701534
make,6659857
vaccinated,6544569
right,6473976
24,6418198
re,6236767
patients,5909703
uk,5782992
say,5684932
dan,5580863
public,5580033
pfizer,5408412
omicron,5113209
masks,4808620
last,4746793
data,4614991
tests,4530257
president,4474976
want,4408041
read,4395791
live,4389204
hospital,4079449
pour,3830855
12,3729455
19 pandemic,3616918
covid 19 pandemic,3611088
biden,3531215
em,3479629
variant,3305592
social,3268355
support,3172004
americans,3111186
coronavirus pandemic,3029790
covid_19,2968868
2022,2938258
11,2916381
stay,2902710
let,2899340
need help,2749674
help covid,2669931
help covid 19,2661796
need help covid,2660481
children,2659121
school,2645100
vacuna,2629992
response,2409981
salud,2362692
18,2311932
20-12,2219117
days,2115572
vacunas,2040081
delta,2020179
available,2017848
21-04,1996866
21-02,1945449
myanmarneedso2,1917300
21-01,1870399
pas,1738123
coronavirus cases,1731692
booster,1730658
july,1727229
states,1665646
21-08,1646876
years,1638658
20-07,1622106
tested,1612214
yang,1556922
21-05,1528121
fight,1512708
21-03,1509555
capacity,1471329
july11coup,1454223
workers,1439464
military,1403400
21-06,1374408
coronavirus covid19,1370812
vacunación,1344054
june,1318101
florida,1315146
20-10,1314485
since,1307360
dr,1303991
dose,1281744
way,1207873
report,1203703
without,1195683
20-09,1170391
20-11,1169380
million,1158211
21-07,1125445
19 vaccines,1075095
covid 19 vaccines,1072072
junta,1055559
21-09,1050826
july10coup,1042443
doses,1009653
21-12,1003122
taking,985993
não,980027
april,961270
covid 19 myanmarneedso2,957894
19 myanmarneedso2,957837
08,939276
07,935197
21-11,929733
july11coup whatshappeninginmyanmar,917475
100,915300
died,910655
myanmarneedso2 july11coup,909930
number,908681
house,904418
we,894943
detrick,883893
कर,879081
usa,865535
oxygen,864513
fort,864495
myanmarneedso2 july11coup whatshappeninginmyanmar,863427
risk,861683
cdc,858161
link,849633
fort detrick,845766
non,844351
wear,836726
covid19 covid,834097
truth,822174
vote,821588
come,821396
20,819598
christmas,809910
astrazeneca,799158
20-08,798388
19 myanmarneedso2 july11coup,796842
free,794886
march,794316
white,788648
myanmar,778458
stop,771673
covid 19 whatshappeninginmyanmar,769284
19 whatshappeninginmyanmar,768960
strike,748593
dictatorship,737496
digital,731697
15,727051
without taking,725337
relief,724506
latest,720082
two,715922
22-01,708863
sacwantscoviduncontrollable,708549
08 2021,708444
und,708198
taking vaccine,702726
without taking vaccine,700752
donald,688362
der,684906
we need,679290
06,671760
we need help,668388
paper,666641
click,662275
say covid,657618
say covid 19,656539
com,651566
students,649123
covid omicron,649023
age,644698
qr,644343
bill,639465
july10coup whatshappeninginmyanmar,638394
mais,632518
white house,632378
click link,631855
nuevos,630184
21-10,630108
07 2021,628047
card,625719
covid 19 july10coup,608106
19 july10coup,607575
myanmarcovidsos,606333
paper card,605940
vaksinasi,600390
19 july10coup whatshappeninginmyanmar,597747
vaccinesget,597360
19 vaccinesget,597240
covid 19 vaccinesget,597240
schools,589409
long,586752
certificate,580455
19 vaccination,571665
covid 19 vaccination,570384
daily,568696
covid 19 digital,566148
19 digital,566097
digital qr,565377
qr certificate,565320
outbreak,556880
05,554291
military dictatorship,550452
04,550139
vaccine click,546657
vaccine click link,546195
taking vaccine click,546087
anti,537788
covid 19 covid,526154
19 covid,524911
election,523211
boosters,521526
dreadfulcovidamidmilitarycoup,518631
digital qr certificate,516894
19 digital qr,516759
certificate paper card,515982
qr certificate paper,515982
certificate paper,515910
sac,513591
covid19 covid 19,512240
week,510593
really,510485
great,508104
uses,489069
weapons,480456
uses covid,480150
brasil,477438
soon,475882
30,467257
untuk,465162
medical,464874
vaccinesget covid 19,462915
vaccinesget covid,462915
19 vaccinesget covid,462804
protest,462596
covid weapons,461454
junta uses,460776
uses covid weapons,456456
junta uses covid,455880
johnson,420723
case,419169
whatshappeninginmyanmar july11coup,407706
exemption,401175
none,398127
रह,397301
flu,386907
das,379681
variante,372321
boosters exemption,358917
study,351912
21,336605
22-03,330190
global,318858
22-02,314306
contagios,313690
much,308381
times,308069
19 covid omicron,306612
omicron variant,304248
cowin,300531
keep,299038
00,298964
letters,298137
exemption letters,296619
letters without,296619
exemption letters without,296619
boosters exemption letters,296598
letters without taking,296598
card boosters,296274
card boosters exemption,296274
paper card boosters,296274
thank,290429
must,288003
2023,287445
code,287304
september,287172
min,284697
covid19 coronavirus,284110
video,283837
covidー19,283570
every,282628
youtube,281019
limit,280623
22-04,278011
dates,277434
life,277282
22-06,270194
twitter,269488
never,266052
man,265630
true,265263
business,263084
everyone,262810
06 2021,262413
got,262148
media,257696
amid,257213
safe,255801
au,254969
lives,254057
africa,254053
het,251135
money,250204
hope,249040
to,249032
kids,248993
face,248765
america,248156
une,247770
use,247034
real,246492
january,246121
restrictions,245968
update,244971
look,242843
vía,240559
gobierno,239201
economy,239153
wuhan,238670
york,237432
working,236619
god,236415
09,235968
stayhome,235662
quarantine,234864
thanks,234752
made,234193
new covid,233614
family,230788
analytics,229383
gt,228943
22-07,223132
another,220240
app,219007
confirmed,218775
qui,218001
sur,217661
post,217152
better,216920
01,215034
canada,212260
new covid 19,211551
vaksin,210630
getting,209775
new york,209610
give,209367
check,208740
next,208478
watch,208060
ca,207514
mundo,207239
ser,207139
around,206815
dans,204665
best,204499
ne,204120
in,203910
unvaccinated,203757
end,202866
food,202792
coronaviruspandemic,202739
weeks,202419
november,199708
doctors,199593
va,198727
love,196815
call,196282
countries,193967
chinese,193858
país,193617
plus,193186
eu,191078
casa,190920
done,190768
thing,190324
open,190311
already,190273
online,190044
job,189984
needs,189345
distancing,188536
22-11,188207
ve,187113
cuarentena,184833
plan,184116
22-05,183725
article,182984
show,182638
ce,182596
community,181661
gente,181409
information,179962
updates,179781
sa,178856
che,178371
part,178084
put,177925
stay home,177897
lab,177800
staff,177600
anyone,177296
personas,175694
yet,175471
via youtube,175081
covid2019,174765
numbers,174618
find,174603
big,174187
and,174124
je,173626
03,172850
things,172611
cnn,172298
22-10,172192
pm,171021
fauci,170917
together,170847
far,170781
coronavirus crisis,170510
nhs,170165
sure,168845
02,168380
disease,168032
impact,167679
important,167648
toll,167044
22-08,166869
symptoms,166730
away,166614
using,166510
protect,165415
pay,165043
city,165025
something,164858
join,164542
old,164267
hoy,163739
hospitals,163177
par,162949
infected,162370
someone,162005
american,161587
rate,161516
22-12,160722
story,160571
believe,160394
um,160045
coronavirus outbreak,159602
top,159459
fully,159363
trying,159213
social distancing,159030
france,158774
reported,158698
making,156478
october,156345
start,156163
order,155878
save,155183
nothing,154774
situation,154663
treatment,154477
share,154383
ever,153704
de,153578
person,153385
yes,153347
national,153182
enough,152950
bad,152871
50,152279
solo,152099
emergency,152069
of,152020
govt,151689
place,151581
españa,151412
might,151240
ahora,151208
others,150908
vous,150500
healthcare,150478
rt,150061
tell,149475
longcovid,149079
change,148936
county,148557
bien,148451
businesses,147670
human,147565
14,146480
oh,145667
stayathome,145541
italy,145500
economic,145386
coronavírus,145258
high,145123
van,144899
mrna,144717
local,144660
coming,144174
shit,143945
doctor,143381
this,142970
ppe,142922
it,142447
ukraine,141780
police,141338
full,141131
team,140238
follow,139966
así,139683
dos,139613
always,139528
control,139527
fake,139079
mas,138929
coronavirus lockdown,138287
hard,137557
día,137495
self,137310
sick,137135
saying,136408
hit,136252
presidente,135685
confinement,135513
dead,135139
medidas,134558
months,133575
coronavirus covid,133418
lot,133237
death toll,133165
reports,132982
small,132304
breaking,132216
href,131835
rel,131636
officials,131566
sign,131223
nofollow,131075
rel nofollow,131070
href rel,131070
href rel nofollow,131070
fuck,130717
muertos,130715
month,130589
point,130514
cause,130157
across,129918
gov,129421
south,129178
qu,129168
ini,129006
continue,128783
no,128619
nous,128512
true href,128494
true href rel,128493
feel,127997
amid coronavirus,127470
dying,126805
bbc,126336
system,126258
new cases,126100
wrong,126001
experts,125889
war,125368
everything,125363
25,124912
lost,124561
governor,124345
cure,124285
actually,124265
positive covid,124150
anything,123734
thought,123460
minister,123098
measures,123018
13,122836
essential,122620
least,121707
possible,121446
hacer,121255
ll,121227
research,121200
contact,120864
early,120395
used,119852
maybe,119715
population,119603
federal,118988
puede,118379
ai,118358
less,118313
kill,118062
shanghai,117900
gop,117776
is,117499
due coronavirus,117225
el,117105
force,117097
recovered,116220
little,115858
looking,115697
info,115450
told,115217
you,114765
called,114748
avec,114738
nation,114220
service,114119
ago,112743
questions,112741
personal,112672
quedateencasa,112455
la,112371
ver,112260
drug,111365
covid19 pandemic,111330
nofollow twitter,111233
rel nofollow twitter,111233
potus,111047
united,110944
coronavirus covid 19,110944
leaders,110912
on,110670
narendramodi,110650
dies,110622
fighting,110602
cómo,110527
nigeria,110252
hands,110085
méxico,109988
friends,109758
fucking,109666
travel,109517
infection,109445
related,109313
makes,109249
services,109145
normal,109062
shows,108997
learn,108935
act,108604
ou,108309
fact,107705
muertes,107462
science,107273
listen,107255
19 crisis,106979
question,106887
ba,106848
covid 19 crisis,106779
whole,106618
web,106083
families,106059
action,105676
17,105670
air,105570
tweet,105276
future,105248
mil,105202
patient,105118
remember,105099
etc,105096
including,104869
seen,104745
en,104667
press,103660
understand,103549
hace,103438
for,103168
hours,102971
sont,102783
idea,102722
stupid,102707
millions,102583
fund,102337
sir,102255
close,102119
needed,102048
left,101982
gracias,101924
spreading,101395
16,101275
ist,101260
sad,101207
días,101148
uma,100903
briefing,100842
coronavirus via,100708
worse,100643
current,100409
ask,100281
found,100164
500,100159
line,100075
caso,99890
hear,99044
mayor,98527
पर,98518
provide,98314
three,98218
mean,97928
40,97817
22-09,97802
helping,97716
italia,97377
group,97159
thousands,96491
wants,96354
pacientes,96353
party,96240
menos,96216
nyc,96186
likely,96082
staysafe,96067
talk,95966
advice,95959
second,95842
donald trump,95835
different,95674
leadership,95632
all,95507
front,95183
wait,95168
try,95030
fight coronavirus,95030
wow,94722
tv,94648
tested positive,94501
else,94501
safety,93942
market,93939
power,93787
isolation,93429
instead,93233
boris,93122
closed,92829
able,92765
fear,92469
efforts,92427
thread,92427
vida,92226
bbc news,92065
aux,91858
set,91699
citizens,91532
yg,91185
nurses,91150
problem,91116
political,91000
seems,90498
hi,90352
despite,90337
fallecidos,90239
based,90189
foxnews,90084
women,90046
europe,89971
ça,89592
poor,89578
started,89188
worst,89156
democrats,89012
become,88933
positive coronavirus,88880
2019,88842
happy,88836
socialdistancing,88726
general,88644
kita,88634
coronavirus deaths,88604
shut,88466
wo,88234
news coronavirus,88178
rest,87949
increase,87933
lies,87850
años,87800
crise,87718
message,87697
reason,87443
talking,87296
given,87063
companies,86940
taken,86657
tem,86593
administration,86510
aquí,86504
ok,86172
que,85680
members,85664
gets,85638
due covid,85555
means,85535
australia,85382
abril,85377
contre,85372
60,85217
fox,85083
leader,84896
heart,84595
low,84423
employees,84302
deal,83855
19 patients,83834
interesting,83483
affected,83438
covid 19 patients,83384
cada,83310
due covid 19,83280
ils,83139
at,82956
hand,82671
company,82578
lol,82563
hey,82518
morning,82445
new coronavirus,82430
mal,82339
stay safe,82310
leave,82094
और,82042
past,81738
homes,81559
guy,81506
law,81410
boris johnson,81378
behind,81307
mejor,81260
calls,81260
almost,81208
living,80938
un,80843
prevent,80652
sense,80191
moment,80096
confirmed cases,79949
critical,79926
giving,79416
200,79395
list,79291
nuevo,79288
venezuela,79225
nytimes,79026
aid,79004
residents,78854
serious,78843
rise,78812
office,78578
hold,78511
course,78468
coronavirusoutbreak,78303
blame,78244
stimulus,78224
donate,78192
key,78092
chief,78019
probably,78009
name,77980
pra,77846
número,77679
confirmados,77496
resources,77366
gon,77129
novel,77115
ready,77104
recovery,77102
sars,76980
according,76587
vulnerable,76576
vez,76551
looks,76518
gates,76345
dice,76323
run,76294
industry,76273
black,75905
especially,75820
issues,75799
ways,75734
oms,75652
gon na,75518
coronavirus response,75430
ont,75359
financial,74894
play,74794
california,74702
came,74541
cas,74275
reporting,74273
comes,74200
happen,74193
coronavirus death,74092
that,73651
pruebas,73340
twitter web,73340
task,73317
nofollow twitter web,73269
facebook,73240
mental,73237
guys,73126
public health,73075
ones,73072
scientists,73054
infections,72961
amazing,72884
hoax,72791
took,72549
coronavirus patients,72549
president trump,72502
though,72485
im,72482
corona virus,72453
united states,72420
dangerous,72368
spread coronavirus,72150
single,71515
información,71491
yesterday,71447
visit,71272
blood,71222
jobs,70950
buy,70818
issue,70787
bring,70745
special,70711
du coronavirus,70664
fake news,70317
argentina,70022
mr,69949
cuomo,69947
following,69837
thinking,69562
dengan,69368
ny,69231
hydroxychloroquine,69087
history,68905
fight covid19,68878
fight covid,68815
task force,68637
tan,68566
health care,68534
5g,68078
huge,67771
evidence,67721
parte,67607
ke,67519
access,67348
casos coronavirus,67339
kind,67308
dia,67148
official,66437
seriously,66282
crisis coronavirus,66247
comment,66217
clear,66035
22,65888
pandemia coronavirus,65864
demand,65851
fight covid 19,65819
calling,65503
polri,65409
den,65281
19 outbreak,65214
agree,65142
covid 19 outbreak,65073
facts,64911
reopen,64527
threat,64488
year old,64432
up,64396
ng,64320
wonder,63567
funding,63402
médicos,63254
sorry,63221
web app,63199
goes,63161
gt gt,63029
claims,62991
petition,62884
twitter web app,62752
millones,62558
19 via,62449
spain,62359
novel coronavirus,62324
trust,62283
covid 19 via,62182
germany,62068
vs,61866
masyarakat,61805
orders,61680
source,61659
outside,61611
23,61238
dalam,61170
situación,61159
asked,61103
frente,60901
ventilators,60899
28,60799
trump coronavirus,60612
países,60435
area,60336
pmoindia,59851
among,59802
killed,59763
positive covid 19,59740
billion,59161
nicht,59079
casos confirmados,58975
happening,58904
release,58817
due covid19,58514
healthy,57972
mass,57898
lead,57897
faire,57879
return,57843
caused,57817
virtual,57817
amid covid,57795
went,57720
coronavirus covid_19,57688
mind,57685
hell,57577
vamos,57488
proud,57485
amid covid 19,57408
bill gates,57378
ao,57301
move,57184
worldwide,56816
knew,56691
covid_19 coronavirus,56603
bbc news coronavirus,56558
head,56552
many people,56370
lack,56100
favor,56047
dari,55931
elonmusk,55914
contagio,55838
covid19 cases,55795
august,55725
fait,55712
fox news,55515
cette,55424
19 deaths,55370
immunity,55294
bir,55166
supplies,55111
iran,54938
woman,54855
send,54684
easter,54662
nursing,54531
society,54468
matter,54418
nuevos casos,54323
19 lockdown,53986
covid 19 deaths,53969
covid 19 lockdown,53775
rules,53634
cut,53486
whitehouse,53464
noticias,53022
late,52956
center,52933
body,52777
higher,52260
google,52041
tout,51363
results,51246
sector,51231
around world,51152
tests positive,51008
27,50833
inside,50825
datos,50700
april 2020,50614
ppl,50525
international,50519
korea,50185
sent,49993
casos covid,49971
live updates,49894
bolsonaro,49567
cases coronavirus,49173
casos covid 19,48930
positivo,48888
covidー19 coronavirus,48808
100 000,48707
covid19 crisis,48374
