Month,counts
20-04,9361367
20-05,11729045
20-06,17181212
20-07,28041526
20-08,33661950
20-09,35469333
20-10,50070912
20-11,76508531
20-12,78832227
21-01,84590456
21-02,46698894
21-03,60713195
21-04,91617007
21-05,84066367
21-06,46085432
21-07,63683219
21-08,82451484
21-09,65564232
21-10,56477806
21-11,66746120
21-12,102136777
22-01,399848072
22-02,256429969
22-03,211707472
22-04,112258117
22-05,74226571
22-06,70931285
22-07,136454216
22-08,101836786
22-09,59644595
22-10,61454841
22-11,48082636
22-12,367737337
