gram,counts
covid,483169
19,413881
covid 19,406737
covid19,220674
coronavirus,104406
vaccine,77104
people,46994
amp,45429
china,44065
pandemic,43613
without,36365
new,36050
say,35209
taking,35035
without taking,32263
taking vaccine,32085
link,32041
without taking vaccine,32029
digital,30857
2022,30663
cases,30464
click,30400
health,30134
qr,29730
say covid,28733
get,28666
say covid 19,28660
click link,28639
paper,28582
boosters,28455
vaccine click,28368
vaccine click link,28366
taking vaccine click,28365
19 vaccinesget,27144
vaccinesget,27144
covid 19 vaccinesget,27144
card,26546
certificate,26367
vaccines,26270
covid 19 digital,25896
19 digital,25896
certificate paper,25871
digital qr certificate,25871
digital qr,25871
19 digital qr,25871
qr certificate paper,25871
certificate paper card,25871
paper card,25871
qr certificate,25871
exemption,25114
boosters exemption,24948
vaccinesget covid,24425
vaccinesget covid 19,24425
19 vaccinesget covid,24425
virus,24118
deaths,23402
like,23137
casos,22553
letters,22263
exemption letters without,22230
exemption letters,22230
letters without,22230
paper card boosters,22229
card boosters exemption,22229
boosters exemption letters,22229
card boosters,22229
letters without taking,22229
11,21419
et,20957
19 pandemic,20535
us,20514
covid 19 pandemic,20512
die,20051
di,19473
one,18592
da,17884
des,17694
19 vaccine,17676
covid 19 vaccine,17618
vaccination,17401
news,17186
world,17016
via,16939
time,16705
2020,16095
flu,15803
il,15055
est,14556
still,14209
many,14016
booster,13662
none,13445
public,13348
data,12794
know,12736
years,12694
would,12612
global,12607
work,12513
pfizer,12498
