gram,counts
covid,213768224
19,190686030
covid 19,186729934
covid19,143885410
coronavirus,118491778
people,31261670
amp,30877318
cases,29757684
new,28633674
vaccine,24788144
pandemic,23652914
us,19682708
via,19035518
trump,18702118
get,18012506
virus,17113798
health,16733634
deaths,16025540
news,15018410
one,14726170
like,14032526
casos,13221004
0,12508490
need,11886686
di,11731306
time,11605670
help,11003196
2020,10605796
world,10521886
would,9801246
da,9729290
day,9693754
know,9476446
positive,9419664
die,9227884
et,9050026
today,8995078
still,8944330
china,8941560
test,8668262
10,8592756
many,8534646
please,8469164
first,8341878
government,8179482
realdonaldtrump,8166116
lockdown,8160596
si,7891400
says,7569766
death,7552092
19 vaccine,7483198
state,7468300
covid 19 vaccine,7465666
could,7425700
due,7369052
even,7336474
corona,7097002
2021,7077900
go,7024696
vaccines,7021238
des,6996182
see,6986904
na,6921660
may,6698264
il,6633016
take,6486806
india,6458680
pandemia,6252294
good,6194238
the,6125772
work,6097202
vaccination,6064526
said,5996202
home,5751052
also,5748276
est,5670742
per,5378762
well,5365358
going,5347470
whatshappeninginmyanmar,5341340
year,5334798
back,5286956
country,5281374
care,5153712
19 cases,5073886
total,5013348
covid 19 cases,4858364
spread,4738636
mask,4734034
testing,4718958
vaccinated,4363046
think,4208824
crisis,4191246
du,4173334
make,4172520
24,4131232
right,4058952
re,3915520
patients,3660684
uk,3614834
pfizer,3605608
mask,3568145
say,3563724
public,3531338
dan,3520714
omicron,3408806
last,2972094
data,2910338
tests,2829794
president,2742760
want,2714620
read,2709982
live,2686514
hospital,2476696
12,2371286
biden,2325646
pour,2301674
19 pandemic,2254672
covid 19 pandemic,2251288
variant,2203728
em,2150338
2022,1957456
social,1928542
americans,1909954
support,1844286
11,1826698
need help,1816786
help covid,1778940
coronavirus pandemic,1774746
need help covid,1773654
help covid 19,1768586
vacuna,1748100
covid_19,1709032
school,1694154
children,1688256
let,1687086
stay,1614622
18,1459974
salud,1438536
response,1364884
vacunas,1360054
delta,1346786
myanmarneedso2,1278200
available,1274902
days,1224836
booster,1153772
july,1151486
coronavirus cases,1031934
years,981838
capacity,980886
july11coup,969482
pas,963848
states,938950
military,930778
tested,923348
yang,912382
june,878734
dose,854496
florida,816166
fight,756354
since,733984
workers,719732
19 vaccines,716730
covid 19 vaccines,714594
junta,703706
july10coup,694962
report,685876
coronavirus covid19,685406
dr,673730
without,673350
doses,673102
covid 19 myanmarneedso2,638596
19 myanmarneedso2,638558
8,624492
7,621742
july11coup whatshappeninginmyanmar,611650
myanmarneedso2 july11coup,606620
million,603090
detrick,589262
way,582490
oxygen,576342
fort,576330
myanmarneedso2 july11coup whatshappeninginmyanmar,575618
fort detrick,563844
taking,556680
covid19 covid,540630
christmas,539940
astrazeneca,532772
19 myanmarneedso2 july11coup,531228
wear,522868
we,519030
myanmar,518972
covid 19 whatshappeninginmyanmar,512856
19 whatshappeninginmyanmar,512640
cdc,500364
strike,499062
dictatorship,491664
vote,488840
without taking,483558
link,477682
truth,476634
sacwantscoviduncontrollable,472366
08 2021,472296
house,470948
taking vaccine,468484
without taking vaccine,467168
100,466406
we need,452860
digital,451680
6,445936
we need help,445592
paper,443748
died,443476
number,439502
say covid,438412
risk,438230
april,438104
white,437734
say covid 19,436646
march,434858
covid omicron,432682
click,431000
qr,429562
july10coup whatshappeninginmyanmar,425596
usa,422106
07 2021,418698
card,417146
click link,411154
covid 19 july10coup,405404
19 july10coup,405050
myanmarcovidsos,404222
paper card,403960
vaksinasi,400260
19 july10coup whatshappeninginmyanmar,398498
vaccinesget,398240
19 vaccinesget,398160
covid 19 vaccinesget,398160
age,392202
und,389264
certificate,386970
donald,384070
19 vaccination,381110
covid 19 vaccination,380256
non,378650
covid 19 digital,377432
19 digital,377398
digital qr,376918
qr certificate,376880
schools,373454
students,369010
5,367826
military dictatorship,366968
white house,366326
